gen,desired_array_size,P_ref,t_TES_hours,solarm,PPA_USD_per_MWh,CF_hybrid,CF_pb,LCOE,Annual_Revenue_USD,PV_to_Grid_MWh,CSP_to_Grid_MWh,fitness_PPA,fitness_CF,status,note,timestamp
0,63000.0,63.0,6.5,1.4000000000000001,45.727040251998815,0.2607609938312253,0.21305880369655522,131.8294700180298,17036800.689024217,110843.7380120985,117582.89258405489,45.727040251998815,0.2607609938312253,ok,init; n_jobs=4,2025-11-21T19:56:00.752870+00:00
0,275500.0,56.0,8.5,2.3000000000000003,41.776557794927804,0.5107851009605909,0.2866985922651225,113.21402181038779,28223704.10745667,306804.88701989915,140642.8614215785,41.776557794927804,0.5107851009605909,ok,init; n_jobs=4,2025-11-21T19:56:00.752908+00:00
0,263000.0,74.0,5.5,2.3000000000000003,44.92383525523741,0.4953360867405325,0.20146695085324368,125.34341372259607,30450677.161876295,303315.4757635998,130598.93622110668,44.92383525523741,0.4953360867405325,ok,init; n_jobs=4,2025-11-21T19:56:00.752921+00:00
0,111500.0,50.0,7.0,1.4000000000000001,,,,,,,,1000000000.0,-1000000000.0,exception:RuntimeError,init; n_jobs=4,2025-11-21T19:56:00.752942+00:00
0,199500.0,60.0,5.0,2.8000000000000003,44.6317745719281,0.43978837405548427,0.20164298763450414,119.69767714179342,25703404.03955992,279271.0613719089,105983.55430069538,44.6317745719281,0.43978837405548427,ok,init; n_jobs=4,2025-11-21T19:56:00.752956+00:00
0,276500.0,64.0,2.5,4.2,80.48528617948993,0.32040456351252466,0.10149246117205131,210.8512502718687,32460512.123546273,223773.66420547277,56900.73343149885,80.48528617948993,0.32040456351252466,ok,init; n_jobs=4,2025-11-21T19:56:00.752966+00:00
0,55500.0,187.0,9.0,2.1,45.23178955594297,0.5539648059887352,0.23648597432433235,136.17202173472214,37654386.39107264,97880.76578595668,387392.4042601753,45.23178955594297,0.5539648059887352,ok,init; n_jobs=4,2025-11-21T19:56:00.752975+00:00
0,259500.0,165.0,5.5,4.2,87.41805981348871,0.3853054681143124,0.05183344665409044,232.35587005278904,43845696.39586828,262607.5262743153,74920.06379382232,87.41805981348871,0.3853054681143124,ok,init; n_jobs=4,2025-11-21T19:56:00.752983+00:00
0,101500.0,141.0,8.5,4.2,199.13709855166002,0.15140208108915493,0.023460091321961946,469.4285706133821,34587750.75036629,103651.25663686518,28976.96639723452,199.13709855166002,0.15140208108915493,ok,init; n_jobs=4,2025-11-21T19:56:00.752991+00:00
0,129000.0,110.0,12.5,3.1,43.6225981940155,0.5380014808953609,0.25656489633566004,130.81309139788507,34296559.61711739,224063.36315529415,247225.93410904202,43.6225981940155,0.5380014808953609,ok,init; n_jobs=4,2025-11-21T19:56:00.753000+00:00
