Latitude (decimal degrees): 38.730
Longitude (decimal degrees): -3.450
Elevation (m): 735.0
Irradiance Time Offset (h): 0.1683
month,year
1,2018
2,2016
3,2006
4,2006
5,2009
6,2015
7,2012
8,2022
9,2021
10,2011
11,2010
12,2021
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20180101:0000,6.98,81.54,0.0,-0.0,0.0,258.77,1.88,284.0,94480.0
20180101:0100,5.96,84.34,0.0,-0.0,0.0,255.09,1.85,284.0,94540.0
20180101:0200,4.94,87.13,0.0,-0.0,0.0,251.4,1.82,283.0,94560.0
20180101:0300,3.91,89.92,0.0,-0.0,0.0,247.72,1.79,276.0,94590.0
20180101:0400,2.89,92.72,0.0,-0.0,0.0,244.04,1.77,256.0,94610.0
20180101:0500,1.87,95.51,0.0,-0.0,0.0,240.36,1.74,224.0,94580.0
20180101:0600,0.84,98.31,0.0,-0.0,0.0,236.68,1.71,196.0,94610.0
20180101:0700,-0.18,100.0,0.0,-0.0,0.0,232.99,1.68,212.0,94640.0
20180101:0800,1.36,95.65,23.0,0.0,23.0,239.4,1.45,212.0,94680.0
20180101:0900,3.33,92.15,227.0,675.62,60.0,246.95,1.1,207.0,94730.0
20180101:1000,6.56,68.4,369.0,828.21,66.0,256.05,1.72,215.0,94760.0
20180101:1100,8.43,59.0,462.0,876.0,74.0,253.3,2.41,228.0,94770.0
20180101:1200,9.94,48.95,498.0,891.91,76.0,251.6,3.03,239.0,94680.0
20180101:1300,10.82,42.15,477.0,893.37,71.0,256.4,3.66,254.0,94620.0
20180101:1400,10.98,40.65,390.0,809.0,76.0,260.5,4.07,266.0,94580.0
20180101:1500,10.57,43.8,257.0,670.99,70.0,264.75,4.14,274.0,94580.0
20180101:1600,9.65,50.85,93.0,351.81,46.0,269.4,3.31,268.0,94580.0
20180101:1700,8.48,56.8,0.0,-0.0,0.0,280.6,3.03,272.0,94610.0
20180101:1800,7.54,63.6,0.0,-0.0,0.0,286.4,2.76,274.0,94650.0
20180101:1900,7.31,71.15,0.0,-0.0,0.0,300.15,2.97,272.0,94650.0
20180101:2000,6.72,79.55,0.0,-0.0,0.0,283.9,2.62,267.0,94680.0
20180101:2100,6.11,85.7,0.0,-0.0,0.0,268.05,2.28,268.0,94690.0
20180101:2200,5.72,88.9,0.0,-0.0,0.0,269.6,2.28,271.0,94700.0
20180101:2300,5.32,92.25,0.0,-0.0,0.0,259.7,2.34,277.0,94710.0
20180102:0000,4.96,92.25,0.0,-0.0,0.0,256.2,2.28,274.0,94720.0
20180102:0100,4.5,92.25,0.0,-0.0,0.0,254.4,2.21,262.0,94660.0
20180102:0200,4.52,95.75,0.0,-0.0,0.0,274.05,2.21,251.0,94630.0
20180102:0300,4.67,95.75,0.0,-0.0,0.0,293.4,2.21,239.0,94590.0
20180102:0400,4.91,95.75,0.0,-0.0,0.0,314.1,2.07,236.0,94560.0
20180102:0500,4.97,95.75,0.0,-0.0,0.0,318.55,1.93,246.0,94550.0
20180102:0600,4.82,95.75,0.0,-0.0,0.0,310.6,1.59,243.0,94570.0
20180102:0700,4.75,95.75,0.0,-0.0,0.0,310.2,1.86,230.0,94620.0
20180102:0800,4.76,95.75,36.0,0.0,36.0,313.1,1.79,229.0,94660.0
20180102:0900,5.31,92.25,75.0,0.0,75.0,310.2,1.86,243.0,94740.0
20180102:1000,5.97,85.7,264.0,253.85,171.0,310.05,1.79,254.0,94810.0
20180102:1100,6.88,82.6,414.0,624.13,137.0,316.8,1.59,245.0,94790.0
20180102:1200,7.8,76.8,466.0,733.53,118.0,317.4,1.72,242.0,94740.0
20180102:1300,8.74,74.05,447.0,738.9,110.0,316.4,1.86,260.0,94680.0
20180102:1400,9.57,71.5,378.0,743.48,88.0,307.5,1.86,268.0,94630.0
20180102:1500,10.0,69.0,255.0,665.85,68.0,285.65,1.93,265.0,94600.0
20180102:1600,9.75,71.5,102.0,478.34,37.0,285.85,1.93,272.0,94600.0
20180102:1700,8.98,76.95,0.0,-0.0,0.0,289.3,1.59,271.0,94630.0
20180102:1800,8.14,79.75,0.0,-0.0,0.0,291.05,1.59,261.0,94660.0
20180102:1900,7.43,82.7,0.0,-0.0,0.0,281.2,1.66,243.0,94690.0
