timestep,price_EUR_per_MWh,pv_to_grid_MWe,pv_to_heater_MWe,csp_to_pb_MWt,csp_to_tes_MWt,tes_charge_MWt,tes_discharge_MWt,tes_energy_MWht,pb_electric_MWe,spill_pv_MWe,spill_csp_MWt
0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2747.25,0.0,0.0,0.0
1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2744.50275,0.0,0.0,0.0
2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2741.75824725,0.0,0.0,0.0
3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2739.01648900275,0.0,0.0,0.0
4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2736.27747251375,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0,0.0,0.0,250.0,2481.01594251598,100.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0,190.749604557645,2285.85855833342,76.299841823058,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2283.57269977509,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2281.28912707531,0.0,0.0,0.0
9,1.0,17.9338371126412,0.0,0.0,0.0,0.0,0.0,2279.00783794824,0.0,0.0,0.0
10,1.0,53.0258309170147,0.0,117.435422707463,98.5050198737301,97.5199696749928,0.0,2374.24879978528,46.974169082985206,0.0,0.0
11,1.0,74.0104389590283,0.0,64.9739026024292,488.011602146712,483.131486125245,0.0,2855.00603711074,25.989561040971683,0.0,0.0
12,1.0,85.6391107150982,0.0,35.9022232122545,564.068004362135,558.427324318514,0.0,3410.57835539214,14.3608892849018,0.0,0.0
13,1.0,89.1923024671591,0.0,27.0192438321023,584.221393511681,578.379179576565,0.0,3985.54695661332,10.80769753284092,0.0,0.0
14,1.0,82.2873724115538,0.0,44.2815689711154,504.80400082015,499.755960811949,0.0,4481.31737046865,17.71262758844616,0.0,0.0
15,1.0,64.3462867432316,0.0,89.134283141921,347.567322133466,344.091648912131,0.0,4820.92770201031,35.653713256768405,0.0,0.0
16,1.0,30.4302025673276,0.0,173.924493581681,19.460583103165,19.2659772721333,0.0,4835.37275158044,69.5697974326724,0.0,0.0
17,2.0,0.0,0.0,0.0,0.0,0.0,250.0,4578.0121263036,100.0,0.0,0.0
18,2.0,0.0,0.0,0.0,0.0,0.0,250.0,4320.90886165205,100.0,0.0,0.0
19,2.0,0.0,0.0,0.0,0.0,0.0,250.0,4064.06270026514,100.0,0.0,0.0
20,2.0,0.0,0.0,0.0,0.0,0.0,250.0,3807.47338503962,100.0,0.0,0.0
21,2.0,0.0,0.0,0.0,0.0,0.0,250.0,3551.14065912933,100.0,0.0,0.0
22,2.0,0.0,0.0,0.0,0.0,0.0,250.0,3295.06426594495,100.0,0.0,0.0
23,2.0,0.0,0.0,0.0,0.0,0.0,250.0,3039.24394915375,100.0,0.0,0.0
24,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3036.2047052046,0.0,0.0,0.0
25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3033.16850049939,0.0,0.0,0.0
26,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3030.13533199889,0.0,0.0,0.0
27,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3027.1051966669,0.0,0.0,0.0
28,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3024.07809147023,0.0,0.0,0.0
29,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.05401337876,0.0,0.0,0.0
