Hour,AC_kWh,POA_kWh/m2
1,-0.15630000000000002,0.0
2,-0.15630000000000002,0.0
3,-0.15630000000000002,0.0
4,-0.15630000000000002,0.0
5,-0.15630000000000002,0.0
6,-0.15630000000000002,0.0
7,-0.15630000000000002,0.0
8,-0.15630000000000002,0.0
9,-0.15630000000000002,0.0
10,14519.959387334871,189.36875723583773
11,42781.14058598009,420.2193936246103
12,59630.44527817593,587.9773725753018
13,68952.62769502011,687.9325696269008
14,71817.56048158849,718.3562612589843
15,66298.03271611915,659.5983895645975
16,51899.41911509002,510.84850758670063
17,24587.534977955875,241.6622481192962
18,-0.15630000000000002,0.0
19,-0.15630000000000002,0.0
20,-0.15630000000000002,0.0
21,-0.15630000000000002,0.0
22,-0.15630000000000002,0.0
23,-0.15630000000000002,0.0
24,-0.15630000000000002,0.0
25,-0.15630000000000002,0.0
26,-0.15630000000000002,0.0
27,-0.15630000000000002,0.0
28,-0.15630000000000002,0.0
29,-0.15630000000000002,0.0
30,-0.15630000000000002,0.0
31,-0.15630000000000002,0.0
32,-0.15630000000000002,0.0
33,-0.15630000000000002,0.0
34,7947.6364205817845,106.68520695276588
35,31429.48392468589,305.1965574949606
36,52079.45443870773,511.18648494117843
37,63143.942172239134,630.6793893596714
38,65644.78756381589,660.3648817339954
39,62359.03460414874,627.8557079560017
40,50762.17081596049,506.49713787731184
41,29940.65340657987,295.594011226782
42,-0.15630000000000002,0.0
43,-0.15630000000000002,0.0
44,-0.15630000000000002,0.0
45,-0.15630000000000002,0.0
46,-0.15630000000000002,0.0
47,-0.15630000000000002,0.0
48,-0.15630000000000002,0.0
49,-0.15630000000000002,0.0
50,-0.15630000000000002,0.0
51,-0.15630000000000002,0.0
52,-0.15630000000000002,0.0
53,-0.15630000000000002,0.0
54,-0.15630000000000002,0.0
55,-0.15630000000000002,0.0
56,-0.15630000000000002,0.0
57,-0.15630000000000002,0.0
58,15938.213951005408,212.91945125651134
59,16235.571100635507,160.28350002698667
60,25158.505891087538,246.29442202348253
61,22035.280046882042,217.17960385481345
62,17248.966249534722,171.52821723275935
63,20948.160839498098,208.14862937244757
64,19715.112512490272,196.31664744940173
